sample_index,run_id,T_0.95_static,T_0.99_static,soft_risk_static,hard_harm_static,T_0.95_density,T_0.99_density,soft_risk_density,hard_harm_density,T_0.95_risk_01,T_0.99_risk_01,soft_risk_risk_01,hard_harm_risk_01,T_0.95_risk_05,T_0.99_risk_05,soft_risk_risk_05,hard_harm_risk_05,T_0.95_risk_10,T_0.99_risk_10,soft_risk_risk_10,hard_harm_risk_10,T_0.95_risk_50,T_0.99_risk_50,soft_risk_risk_50,hard_harm_risk_50,T_0.95_risk_100,T_0.99_risk_100,soft_risk_risk_100,hard_harm_risk_100
1,1,162.7,185.3,1042890.0,0,168.0,198.6,1055120.0,0,166.5,201.1,1008040.0,0,175.3,211.1,884283.0,0,177.5,215.1,841408.0,0,186.6,265.2,769707.0,0,233.1,337.6,760665.0,0
2,2,202.7,231.6,1764920.0,777,203.9,228.1,1879060.0,974,214.2,245.1,1698510.0,622,212.4,241.2,1473160.0,0,212.9,237.2,1386580.0,0,242.4,278.8,1209450.0,0,246.8,277.3,1196310.0,0
3,3,177.2,206.2,1484030.0,0,189.9,224.7,1546110.0,0,187.9,230.9,1419250.0,0,195.8,242.3,1236760.0,0,194.7,245.4,1178270.0,0,191.4,229.6,1088440.0,0,188.1,219.1,1052930.0,0
4,4,274.6,317.6,1316290.0,1314,290.1,354.3,1512980.0,1338,290.1,347.8,1378280.0,1,290.3,338.8,1282820.0,0,290.7,323.9,1179200.0,0,335.2,405.4,1051670.0,0,351.9,423.1,1045750.0,0
5,5,188.1,222.9,1937110.0,0,202.8,246.1,2086610.0,0,198.7,229.9,1953880.0,0,191.4,223.7,1708720.0,0,186.8,224.2,1619190.0,0,188.6,256.1,1485820.0,0,187.6,253.2,1462150.0,0
6,6,225.1,264.1,1936340.0,0,240.7,269.4,1979880.0,0,234.5,270.0,1847720.0,0,249.7,291.5,1629910.0,0,259.1,304.0,1539560.0,0,274.0,319.5,1445600.0,0,278.6,330.2,1395030.0,0
7,7,192.1,235.5,1496470.0,0,196.7,240.5,1544230.0,62,193.1,232.8,1470090.0,95,192.1,217.6,1305140.0,0,190.9,221.1,1179870.0,0,195.3,247.2,1055080.0,0,205.9,263.2,1061470.0,0
8,8,159.9,182.8,841136.0,0,165.0,186.8,855874.0,0,160.2,187.8,804021.0,0,162.3,189.6,711850.0,0,164.6,192.3,702652.0,0,161.1,189.3,685321.0,0,163.9,199.6,683967.0,0
9,9,190.2,232.8,1109980.0,47351,204.0,263.8,938534.0,13745,196.2,245.8,774568.0,8749,200.6,221.6,532853.0,0,199.0,217.2,504249.0,0,201.7,227.6,434817.0,0,204.3,229.5,427911.0,0
10,10,256.9,324.8,1513020.0,0,229.8,297.1,1361300.0,0,233.2,286.2,1306690.0,0,239.7,291.1,1126370.0,0,253.9,297.0,1041640.0,0,375.9,460.1,890916.0,0,384.9,470.6,889543.0,0
