project,period_s,run_id,n_agents,n_completed,n_ratio,mean_ratio_to_static_path,median_ratio_to_static_path,q95_ratio_to_static_path,q99_ratio_to_static_path,mean_excess_pct,q95_excess_pct,q99_excess_pct,mean_distance_m,q95_distance_m,mean_switch,q95_switch,q99_switch,max_switch,share_switch_ge1,share_switch_ge2
static-0,0,1,23555,23532,21830,1.0,1.0,1.0,1.0,0.0,0.0,0.0,54.493419382626215,124.7869,0.030129185789563147,0.0,1.0,5,0.027366989631140575,0.001954784973652898
static-0,0,2,22671,22649,21184,1.0,1.0,1.0,1.0,0.0,0.0,0.0,61.12089844660957,130.22879999999998,0.03854474811249945,0.0,1.0,5,0.03523334363548059,0.0021634509249856505
static-0,0,3,21262,21241,19624,1.0,1.0,1.0,1.0,0.0,0.0,0.0,52.3741807198324,123.413,0.025375453133091662,0.0,1.0,3,0.02330398757120663,0.0016948354597241184
static-0,0,4,22419,22397,21219,1.0,1.0,1.0,1.0,0.0,0.0,0.0,76.07052499916017,164.92100000000002,0.0412108764566683,0.0,1.0,5,0.03665669509309283,0.003259365093539313
static-0,0,5,22585,22563,20905,1.0,1.0,1.0,1.0,0.0,0.0,0.0,54.19956956951912,124.37619999999995,0.027522935779816515,0.0,1.0,5,0.0254841997961264,0.0015512121615033462
static-0,0,6,24166,24142,22478,1.0,1.0,1.0,1.0,0.0,0.0,0.0,60.856023510933646,136.6373,0.040137519675254744,0.0,1.0,5,0.03698947891641123,0.0024852953359290864
static-0,0,7,24696,24672,23020,1.0,1.0,1.0,1.0,0.0,0.0,0.0,57.959823745893324,129.88629999999995,0.0316147859922179,0.0,1.0,6,0.02889915693904021,0.0019049935149156939
static-0,0,8,21548,21527,20199,1.0,1.0,1.0,1.0,0.0,0.0,0.0,60.39652508300275,127.37810000000002,0.03019463929019371,0.0,1.0,5,0.02787197472940958,0.0016723184837645747
static-0,0,9,22274,22252,20705,1.0,1.0,1.0,1.0,0.0,0.0,0.0,66.57935778915244,152.9959,0.053658098148481034,0.0,1.0,4,0.04826532446521661,0.00417939960452993
static-0,0,10,23171,23148,21611,1.0,1.0,1.0,1.0,0.0,0.0,0.0,71.24031729278771,162.5848999999999,0.060480387074477275,1.0,1.0,5,0.05335234145498531,0.0044928287541040265
static-0,0,11,5041,5036,4691,1.0,1.0,1.0,1.0,0.0,0.0,0.0,58.930369792797855,125.194,0.015488482922954726,0.0,1.0,2,0.014892772041302621,0.0005957108816521049
