step,time,alive
0,0,23581
1,1,23434
2,2,23171
3,3,22900
4,4,22643
5,5,22420
6,6,22282
7,7,22147
8,8,22011
9,9,21885
10,10,21763
11,11,21647
12,12,21538
13,13,21437
14,14,21318
15,15,21212
16,16,21126
17,17,21035
18,18,20945
19,19,20854
20,20,20768
21,21,20678
22,22,20586
23,23,20502
24,24,20424
25,25,20330
26,26,20250
27,27,20165
28,28,20088
29,29,20006
30,30,19929
31,31,19853
32,32,19776
33,33,19691
34,34,19617
35,35,19546
36,36,19468
37,37,19394
38,38,19311
39,39,19231
40,40,19160
41,41,19096
42,42,19020
43,43,18937
44,44,18866
45,45,18793
46,46,18722
47,47,18653
48,48,18574
49,49,18511
50,50,18432
51,51,18359
52,52,18283
53,53,18212
54,54,18138
55,55,18063
56,56,17992
57,57,17914
58,58,17849
59,59,17776
60,60,17704
61,61,17623
62,62,17561
63,63,17493
64,64,17421
65,65,17348
66,66,17276
67,67,17211
68,68,17144
69,69,17067
70,70,16997
71,71,16925
72,72,16862
73,73,16788
74,74,16721
75,75,16650
76,76,16583
77,77,16520
78,78,16444
79,79,16380
80,80,16312
81,81,16249
82,82,16173
83,83,16110
84,84,16051
85,85,15985
86,86,15914
87,87,15850
88,88,15789
89,89,15719
90,90,15659
91,91,15596
92,92,15531
93,93,15470
94,94,15411
95,95,15355
96,96,15298
97,97,15230
98,98,15173
99,99,15108
100,100,15051
101,101,14999
102,102,14942
103,103,14883
104,104,14828
105,105,14769
106,106,14709
107,107,14648
108,108,14597
109,109,14544
110,110,14490
111,111,14433
112,112,14373
113,113,14323
114,114,14266
115,115,14205
116,116,14156
117,117,14099
118,118,14044
119,119,13992
120,120,13932
121,121,13881
122,122,13818
123,123,13770
124,124,13715
125,125,13658
126,126,13616
127,127,13561
128,128,13509
129,129,13457
130,130,13408
131,131,13355
132,132,13307
133,133,13256
134,134,13204
135,135,13155
136,136,13103
137,137,13052
138,138,13001
139,139,12948
140,140,12891
141,141,12847
142,142,12800
143,143,12745
144,144,12703
145,145,12646
146,146,12595
147,147,12550
148,148,12496
149,149,12448
150,150,12401
151,151,12343
152,152,12297
153,153,12245
154,154,12200
155,155,12153
156,156,12099
157,157,12048
158,158,11997
159,159,11947
160,160,11900
161,161,11853
162,162,11798
163,163,11756
164,164,11703
165,165,11657
166,166,11608
167,167,11567
168,168,11519
169,169,11468
170,170,11429
171,171,11381
172,172,11330
173,173,11287
174,174,11241
175,175,11194
176,176,11153
177,177,11105
178,178,11064
179,179,11018
180,180,10971
181,181,10925
182,182,10886
183,183,10838
184,184,10787
185,185,10735
186,186,10693
187,187,10648
188,188,10601
189,189,10561
190,190,10515
191,191,10471
192,192,10435
193,193,10396
194,194,10358
195,195,10318
196,196,10279
197,197,10239
198,198,10198
199,199,10154
200,200,10113
201,201,10074
202,202,10037
203,203,9997
204,204,9950
205,205,9912
206,206,9869
207,207,9828
208,208,9794
209,209,9750
210,210,9714
211,211,9669
212,212,9632
213,213,9592
214,214,9548
215,215,9515
216,216,9479
217,217,9441
218,218,9399
219,219,9358
220,220,9320
221,221,9286
222,222,9247
223,223,9205
224,224,9169
225,225,9131
226,226,9090
227,227,9056
228,228,9018
229,229,8984
230,230,8941
231,231,8906
232,232,8872
233,233,8835
234,234,8798
235,235,8760
236,236,8720
237,237,8685
238,238,8652
239,239,8613
240,240,8581
241,241,8544
242,242,8506
243,243,8472
244,244,8439
245,245,8401
246,246,8368
247,247,8331
248,248,8296
249,249,8259
250,250,8228
251,251,8191
252,252,8155
253,253,8117
254,254,8082
255,255,8052
256,256,8010
257,257,7976
258,258,7944
259,259,7912
260,260,7881
261,261,7844
262,262,7811
263,263,7773
264,264,7742
265,265,7706
266,266,7678
267,267,7642
268,268,7611
269,269,7581
270,270,7547
271,271,7514
272,272,7479
273,273,7451
274,274,7419
275,275,7385
276,276,7351
277,277,7325
278,278,7296
279,279,7262
280,280,7233
281,281,7204
282,282,7175
283,283,7147
284,284,7111
285,285,7084
286,286,7058
287,287,7031
288,288,7002
289,289,6972
290,290,6950
291,291,6927
292,292,6904
293,293,6877
294,294,6854
295,295,6831
296,296,6802
297,297,6778
298,298,6754
299,299,6730
300,300,6703
301,301,6682
302,302,6652
303,303,6627
304,304,6605
305,305,6577
306,306,6554
307,307,6528
308,308,6500
309,309,6474
310,310,6450
311,311,6422
312,312,6394
313,313,6369
314,314,6339
315,315,6307
316,316,6286
317,317,6257
318,318,6227
319,319,6199
320,320,6174
321,321,6145
322,322,6115
323,323,6091
324,324,6062
325,325,6035
326,326,6007
327,327,5982
328,328,5955
329,329,5929
330,330,5903
331,331,5875
332,332,5851
333,333,5825
334,334,5802
335,335,5773
336,336,5747
337,337,5728
338,338,5698
339,339,5672
340,340,5645
341,341,5621
342,342,5597
343,343,5568
344,344,5542
345,345,5517
346,346,5490
347,347,5465
348,348,5438
349,349,5415
350,350,5390
351,351,5365
352,352,5335
353,353,5310
354,354,5286
355,355,5260
356,356,5236
357,357,5206
358,358,5182
359,359,5153
360,360,5125
361,361,5103
362,362,5078
363,363,5053
364,364,5022
365,365,4996
366,366,4967
367,367,4939
368,368,4909
369,369,4880
370,370,4848
371,371,4821
372,372,4794
373,373,4766
374,374,4743
375,375,4716
376,376,4684
377,377,4660
378,378,4633
379,379,4610
380,380,4582
381,381,4555
382,382,4528
383,383,4501
384,384,4472
385,385,4448
386,386,4425
387,387,4401
388,388,4377
389,389,4346
390,390,4326
391,391,4298
392,392,4273
393,393,4251
394,394,4227
395,395,4202
396,396,4180
397,397,4153
398,398,4132
399,399,4110
400,400,4084
401,401,4060
402,402,4041
403,403,4020
404,404,3996
405,405,3970
406,406,3952
407,407,3928
408,408,3907
409,409,3883
410,410,3862
411,411,3841
412,412,3819
413,413,3795
414,414,3777
415,415,3754
416,416,3729
417,417,3706
418,418,3687
419,419,3663
420,420,3644
421,421,3625
422,422,3606
423,423,3582
424,424,3562
425,425,3538
426,426,3517
427,427,3496
428,428,3477
429,429,3455
430,430,3438
431,431,3415
432,432,3396
433,433,3373
434,434,3352
435,435,3330
436,436,3311
437,437,3285
438,438,3264
439,439,3249
440,440,3222
441,441,3202
442,442,3182
443,443,3160
444,444,3137
445,445,3118
446,446,3100
447,447,3080
448,448,3061
449,449,3043
450,450,3023
451,451,3007
452,452,2991
453,453,2973
454,454,2954
455,455,2935
456,456,2917
457,457,2900
458,458,2881
459,459,2866
460,460,2846
461,461,2830
462,462,2812
463,463,2795
464,464,2778
465,465,2760
466,466,2743
467,467,2726
468,468,2706
469,469,2688
470,470,2674
471,471,2659
472,472,2645
473,473,2628
474,474,2611
475,475,2598
476,476,2582
477,477,2567
478,478,2551
479,479,2535
480,480,2520
481,481,2502
482,482,2486
483,483,2471
484,484,2454
485,485,2441
486,486,2422
487,487,2407
488,488,2395
489,489,2378
490,490,2361
491,491,2345
492,492,2332
493,493,2316
494,494,2303
495,495,2285
496,496,2272
497,497,2254
498,498,2236
499,499,2223
500,500,2210
501,501,2193
502,502,2179
503,503,2162
504,504,2148
505,505,2129
506,506,2117
507,507,2103
508,508,2086
509,509,2070
510,510,2059
511,511,2043
512,512,2026
513,513,2016
514,514,2001
515,515,1986
516,516,1973
517,517,1959
518,518,1947
519,519,1932
520,520,1918
521,521,1906
522,522,1893
523,523,1879
524,524,1867
525,525,1856
526,526,1841
527,527,1829
528,528,1817
529,529,1803
530,530,1790
531,531,1777
532,532,1762
533,533,1754
534,534,1742
535,535,1727
536,536,1719
537,537,1709
538,538,1697
539,539,1689
540,540,1681
541,541,1672
542,542,1662
543,543,1655
544,544,1643
545,545,1635
546,546,1624
547,547,1616
548,548,1607
549,549,1599
550,550,1590
551,551,1581
552,552,1572
553,553,1562
554,554,1553
555,555,1544
556,556,1535
557,557,1527
558,558,1519
559,559,1508
560,560,1498
561,561,1491
562,562,1482
563,563,1472
564,564,1464
565,565,1455
566,566,1447
567,567,1437
568,568,1429
569,569,1422
570,570,1417
571,571,1409
572,572,1404
573,573,1398
574,574,1393
