step,time,alive
0,0,5175
1,1,5148
2,2,5062
3,3,4962
4,4,4907
5,5,4865
6,6,4823
7,7,4795
8,8,4759
9,9,4722
10,10,4693
11,11,4663
12,12,4634
13,13,4607
14,14,4581
15,15,4554
16,16,4528
17,17,4503
18,18,4475
19,19,4450
20,20,4424
21,21,4396
22,22,4370
23,23,4342
24,24,4316
25,25,4292
26,26,4266
27,27,4239
28,28,4216
29,29,4184
30,30,4163
31,31,4142
32,32,4120
33,33,4096
34,34,4071
35,35,4043
36,36,4018
37,37,3990
38,38,3965
39,39,3941
40,40,3918
41,41,3887
42,42,3862
43,43,3839
44,44,3810
45,45,3785
46,46,3759
47,47,3734
48,48,3709
49,49,3684
50,50,3661
51,51,3637
52,52,3607
53,53,3587
54,54,3566
55,55,3541
56,56,3519
57,57,3495
58,58,3471
59,59,3451
60,60,3428
61,61,3401
62,62,3378
63,63,3355
64,64,3330
65,65,3305
66,66,3285
67,67,3264
68,68,3242
69,69,3224
70,70,3197
71,71,3172
72,72,3146
73,73,3125
74,74,3103
75,75,3082
76,76,3064
77,77,3044
78,78,3021
79,79,3002
80,80,2982
81,81,2962
82,82,2943
83,83,2925
84,84,2902
85,85,2886
86,86,2862
87,87,2836
88,88,2818
89,89,2804
90,90,2782
91,91,2760
92,92,2741
93,93,2718
94,94,2695
95,95,2671
96,96,2648
97,97,2623
98,98,2605
99,99,2583
100,100,2562
101,101,2540
102,102,2519
103,103,2499
104,104,2475
105,105,2450
106,106,2432
107,107,2408
108,108,2389
109,109,2368
110,110,2349
111,111,2327
112,112,2304
113,113,2284
114,114,2262
115,115,2242
116,116,2218
117,117,2203
118,118,2182
119,119,2161
120,120,2139
121,121,2117
122,122,2097
123,123,2075
124,124,2052
125,125,2035
126,126,2012
127,127,1987
128,128,1965
129,129,1945
130,130,1922
131,131,1898
132,132,1877
133,133,1858
134,134,1833
135,135,1817
136,136,1793
137,137,1773
138,138,1754
139,139,1737
140,140,1718
141,141,1698
142,142,1680
143,143,1659
144,144,1640
145,145,1625
146,146,1604
147,147,1586
148,148,1567
149,149,1549
150,150,1530
151,151,1511
152,152,1488
153,153,1471
154,154,1456
155,155,1430
156,156,1411
157,157,1391
158,158,1371
159,159,1354
160,160,1334
161,161,1311
162,162,1289
163,163,1268
164,164,1245
165,165,1227
166,166,1208
167,167,1189
168,168,1167
169,169,1145
170,170,1127
171,171,1106
172,172,1087
173,173,1063
174,174,1041
175,175,1018
176,176,996
177,177,979
178,178,954
179,179,936
180,180,922
181,181,898
182,182,878
183,183,862
184,184,841
185,185,821
186,186,807
187,187,787
188,188,770
189,189,752
190,190,731
191,191,711
192,192,695
193,193,675
194,194,656
195,195,643
196,196,625
197,197,607
198,198,594
199,199,578
200,200,561
201,201,548
202,202,536
203,203,526
204,204,513
205,205,502
206,206,489
207,207,477
208,208,464
209,209,454
210,210,445
211,211,433
212,212,425
213,213,414
214,214,398
215,215,391
216,216,381
217,217,372
218,218,359
219,219,351
220,220,339
221,221,329
222,222,317
223,223,309
224,224,298
225,225,289
226,226,281
227,227,272
228,228,263
229,229,257
230,230,248
231,231,242
232,232,234
233,233,223
234,234,216
235,235,207
236,236,200
237,237,191
238,238,184
239,239,178
240,240,173
241,241,168
242,242,163
243,243,157
244,244,151
245,245,145
246,246,143
247,247,137
248,248,132
249,249,128
250,250,122
251,251,117
252,252,114
253,253,107
254,254,102
255,255,98
256,256,94
257,257,89
258,258,83
259,259,80
260,260,75
261,261,71
262,262,66
263,263,62
264,264,57
265,265,53
266,266,49
267,267,46
268,268,43
269,269,41
270,270,40
271,271,38
272,272,35
273,273,33
274,274,31
275,275,29
276,276,27
277,277,25
278,278,23
279,279,21
280,280,19
281,281,18
282,282,15
283,283,13
284,284,11
285,285,10
286,286,8
287,287,7
