step,time,alive
0,0,839
1,1,836
2,2,825
3,3,755
4,4,674
5,5,635
6,6,611
7,7,607
8,8,603
9,9,597
10,10,593
11,11,589
12,12,585
13,13,581
14,14,576
15,15,572
16,16,568
17,17,564
18,18,559
19,19,555
20,20,551
21,21,547
22,22,542
23,23,538
24,24,532
25,25,531
26,26,526
27,27,522
28,28,517
29,29,512
30,30,509
31,31,504
32,32,501
33,33,496
34,34,491
35,35,488
36,36,484
37,37,480
38,38,476
39,39,472
40,40,468
41,41,463
42,42,460
43,43,455
44,44,453
45,45,447
46,46,443
47,47,439
48,48,436
49,49,431
50,50,426
51,51,423
52,52,418
53,53,414
54,54,410
55,55,406
56,56,403
57,57,400
58,58,396
59,59,391
60,60,386
61,61,383
62,62,379
63,63,374
64,64,371
65,65,367
66,66,364
67,67,359
68,68,354
69,69,349
70,70,346
71,71,343
72,72,338
73,73,335
74,74,331
75,75,326
76,76,322
77,77,319
78,78,314
79,79,312
80,80,308
81,81,303
82,82,299
83,83,295
84,84,292
85,85,288
86,86,284
87,87,280
88,88,277
89,89,272
90,90,269
91,91,265
92,92,260
93,93,257
94,94,252
95,95,249
96,96,245
97,97,241
98,98,238
99,99,234
100,100,229
101,101,225
102,102,220
103,103,218
104,104,214
105,105,209
106,106,206
107,107,201
108,108,199
109,109,194
110,110,190
111,111,186
112,112,182
113,113,179
114,114,175
115,115,172
116,116,167
117,117,163
118,118,161
119,119,155
120,120,150
121,121,149
122,122,144
123,123,139
124,124,136
125,125,131
126,126,127
127,127,123
128,128,119
129,129,115
130,130,112
131,131,109
132,132,105
133,133,100
134,134,96
135,135,92
136,136,89
137,137,86
138,138,80
139,139,77
140,140,73
141,141,70
142,142,66
143,143,61
144,144,57
145,145,53
146,146,50
147,147,47
148,148,43
149,149,39
150,150,36
151,151,31
152,152,29
153,153,25
154,154,21
155,155,19
156,156,15
157,157,12
158,158,9
159,159,8
160,160,6
161,161,4
162,162,2
