step,time,alive
0,0,2668
1,1,2654
2,2,2592
3,3,2543
4,4,2514
5,5,2485
6,6,2461
7,7,2438
8,8,2410
9,9,2393
10,10,2372
11,11,2361
12,12,2345
13,13,2335
14,14,2321
15,15,2310
16,16,2292
17,17,2278
18,18,2262
19,19,2246
20,20,2229
21,21,2213
22,22,2195
23,23,2181
24,24,2158
25,25,2141
26,26,2125
27,27,2102
28,28,2087
29,29,2071
30,30,2055
31,31,2037
32,32,2022
33,33,2008
34,34,1992
35,35,1971
36,36,1955
37,37,1936
38,38,1916
39,39,1899
40,40,1883
41,41,1863
42,42,1841
43,43,1821
44,44,1807
45,45,1791
46,46,1774
47,47,1750
48,48,1734
49,49,1716
50,50,1706
51,51,1686
52,52,1671
53,53,1655
54,54,1639
55,55,1620
56,56,1603
57,57,1586
58,58,1572
59,59,1551
60,60,1532
61,61,1516
62,62,1497
63,63,1478
64,64,1457
65,65,1440
66,66,1425
67,67,1410
68,68,1399
69,69,1386
70,70,1375
71,71,1355
72,72,1340
73,73,1329
74,74,1314
75,75,1300
76,76,1287
77,77,1266
78,78,1249
79,79,1236
80,80,1223
81,81,1208
82,82,1190
83,83,1175
84,84,1159
85,85,1145
86,86,1133
87,87,1122
88,88,1109
89,89,1088
90,90,1073
91,91,1062
92,92,1046
93,93,1033
94,94,1013
95,95,997
96,96,978
97,97,962
98,98,948
99,99,929
100,100,915
101,101,896
102,102,877
103,103,863
104,104,847
105,105,832
106,106,816
107,107,798
108,108,785
109,109,772
110,110,759
111,111,742
112,112,729
113,113,715
114,114,697
115,115,685
116,116,669
117,117,655
118,118,639
119,119,632
120,120,618
121,121,600
122,122,585
123,123,569
124,124,552
125,125,533
126,126,520
127,127,504
128,128,487
129,129,471
130,130,455
131,131,439
132,132,423
133,133,407
134,134,392
135,135,379
136,136,365
137,137,346
138,138,331
139,139,317
140,140,309
141,141,296
142,142,286
143,143,276
144,144,269
145,145,259
146,146,249
147,147,241
148,148,232
149,149,222
150,150,214
151,151,207
152,152,201
153,153,191
154,154,185
155,155,181
156,156,175
157,157,170
158,158,164
159,159,158
160,160,151
161,161,144
162,162,140
163,163,136
164,164,132
165,165,129
166,166,125
167,167,121
168,168,118
169,169,113
170,170,109
171,171,105
172,172,99
173,173,97
174,174,92
175,175,89
176,176,84
177,177,81
178,178,76
179,179,72
180,180,67
181,181,63
182,182,59
183,183,55
184,184,51
185,185,48
186,186,43
187,187,39
188,188,35
189,189,30
190,190,26
191,191,23
192,192,18
193,193,15
194,194,12
195,195,10
196,196,9
197,197,7
198,198,5
199,199,4
200,200,4
201,201,4
202,202,3
