step,time,alive
0,0,46761
1,1,46575
2,2,46084
3,3,45422
4,4,44896
5,5,44693
6,6,44559
7,7,44439
8,8,44318
9,9,44189
10,10,44070
11,11,43937
12,12,43821
13,13,43701
14,14,43588
15,15,43477
16,16,43372
17,17,43267
18,18,43170
19,19,43081
20,20,42993
21,21,42892
22,22,42802
23,23,42712
24,24,42625
25,25,42541
26,26,42458
27,27,42369
28,28,42289
29,29,42195
30,30,42106
31,31,42021
32,32,41933
33,33,41848
34,34,41754
35,35,41670
36,36,41582
37,37,41506
38,38,41413
39,39,41329
40,40,41237
41,41,41160
42,42,41061
43,43,40981
44,44,40886
45,45,40810
46,46,40726
47,47,40632
48,48,40542
49,49,40449
50,50,40365
51,51,40285
52,52,40198
53,53,40109
54,54,40020
55,55,39938
56,56,39851
57,57,39756
58,58,39675
59,59,39581
60,60,39499
61,61,39412
62,62,39324
63,63,39225
64,64,39120
65,65,38987
66,66,38836
67,67,38698
68,68,38551
69,69,38424
70,70,38295
71,71,38189
72,72,38081
73,73,37976
74,74,37885
75,75,37788
76,76,37695
77,77,37597
78,78,37517
79,79,37422
80,80,37340
81,81,37264
82,82,37184
83,83,37101
84,84,37017
85,85,36947
86,86,36872
87,87,36788
88,88,36716
89,89,36643
90,90,36573
91,91,36497
92,92,36425
93,93,36352
94,94,36281
95,95,36200
96,96,36134
97,97,36060
98,98,36003
99,99,35925
100,100,35863
101,101,35797
102,102,35727
103,103,35659
104,104,35591
105,105,35526
106,106,35447
107,107,35383
108,108,35311
109,109,35242
110,110,35173
111,111,35106
112,112,35025
113,113,34960
114,114,34903
115,115,34836
116,116,34768
117,117,34706
118,118,34630
119,119,34571
120,120,34508
121,121,34446
122,122,34379
123,123,34315
124,124,34246
125,125,34163
126,126,34092
127,127,34009
128,128,33930
129,129,33862
130,130,33791
131,131,33737
132,132,33672
133,133,33614
134,134,33545
135,135,33482
136,136,33415
137,137,33352
138,138,33282
139,139,33223
140,140,33161
141,141,33089
142,142,33027
143,143,32966
144,144,32911
145,145,32840
146,146,32783
147,147,32719
148,148,32654
149,149,32594
150,150,32529
151,151,32463
152,152,32394
153,153,32329
154,154,32263
155,155,32198
156,156,32134
157,157,32076
158,158,32003
159,159,31945
160,160,31882
161,161,31813
162,162,31748
163,163,31687
164,164,31617
165,165,31554
166,166,31486
167,167,31430
168,168,31369
169,169,31300
170,170,31237
171,171,31178
172,172,31111
173,173,31052
174,174,30994
175,175,30927
176,176,30869
177,177,30809
178,178,30748
179,179,30690
180,180,30633
181,181,30566
182,182,30505
183,183,30442
184,184,30371
185,185,30288
186,186,30216
187,187,30136
188,188,30060
189,189,29992
190,190,29924
191,191,29854
192,192,29786
193,193,29719
194,194,29652
195,195,29588
196,196,29523
197,197,29465
198,198,29403
199,199,29350
200,200,29282
201,201,29217
202,202,29158
203,203,29095
204,204,29036
205,205,28971
206,206,28915
207,207,28853
208,208,28793
209,209,28726
210,210,28672
211,211,28612
212,212,28549
213,213,28489
214,214,28430
215,215,28374
216,216,28309
217,217,28251
218,218,28196
219,219,28136
220,220,28080
221,221,28017
222,222,27960
223,223,27908
224,224,27848
225,225,27791
226,226,27737
227,227,27686
228,228,27630
229,229,27568
230,230,27510
231,231,27462
232,232,27405
233,233,27354
234,234,27300
235,235,27249
236,236,27188
237,237,27137
238,238,27084
239,239,27025
240,240,26972
241,241,26922
242,242,26864
243,243,26804
244,244,26744
245,245,26679
246,246,26617
247,247,26554
248,248,26488
249,249,26435
250,250,26387
251,251,26337
252,252,26282
253,253,26232
254,254,26192
255,255,26138
256,256,26084
257,257,26038
258,258,25988
259,259,25937
260,260,25887
261,261,25839
262,262,25784
263,263,25733
264,264,25686
265,265,25635
266,266,25584
267,267,25533
268,268,25479
269,269,25430
270,270,25384
271,271,25337
272,272,25283
273,273,25241
274,274,25187
275,275,25140
276,276,25086
277,277,25045
278,278,24990
279,279,24943
280,280,24894
281,281,24846
282,282,24797
283,283,24744
284,284,24694
285,285,24644
286,286,24602
287,287,24551
288,288,24499
289,289,24457
290,290,24404
291,291,24352
292,292,24312
293,293,24259
294,294,24215
295,295,24163
296,296,24116
297,297,24072
298,298,24022
299,299,23973
300,300,23923
301,301,23878
302,302,23824
303,303,23784
304,304,23722
305,305,23658
306,306,23592
307,307,23534
308,308,23472
309,309,23414
310,310,23353
311,311,23297
312,312,23239
313,313,23183
314,314,23126
315,315,23065
316,316,23014
317,317,22963
318,318,22910
319,319,22863
320,320,22809
321,321,22749
322,322,22693
323,323,22637
324,324,22577
325,325,22526
326,326,22473
327,327,22415
328,328,22371
329,329,22311
330,330,22259
331,331,22209
332,332,22156
333,333,22101
334,334,22055
335,335,21995
336,336,21945
337,337,21889
338,338,21833
339,339,21775
340,340,21724
341,341,21675
342,342,21621
343,343,21581
344,344,21534
345,345,21475
346,346,21420
347,347,21377
348,348,21327
349,349,21277
350,350,21231
351,351,21176
352,352,21128
353,353,21080
354,354,21035
355,355,20983
356,356,20935
357,357,20882
358,358,20838
359,359,20786
360,360,20733
361,361,20687
362,362,20637
363,363,20587
364,364,20534
365,365,20473
366,366,20418
367,367,20353
368,368,20296
369,369,20245
370,370,20181
371,371,20130
372,372,20081
373,373,20040
374,374,19999
375,375,19954
376,376,19902
377,377,19853
378,378,19809
379,379,19771
380,380,19721
381,381,19678
382,382,19634
383,383,19587
384,384,19534
385,385,19499
386,386,19451
387,387,19400
388,388,19361
389,389,19313
390,390,19270
391,391,19221
392,392,19184
393,393,19138
394,394,19096
395,395,19053
396,396,19008
397,397,18969
398,398,18929
399,399,18888
400,400,18852
401,401,18810
402,402,18772
403,403,18728
404,404,18689
405,405,18648
406,406,18610
407,407,18565
408,408,18529
409,409,18485
410,410,18448
411,411,18405
412,412,18365
413,413,18321
414,414,18278
415,415,18238
416,416,18195
417,417,18157
418,418,18117
419,419,18072
420,420,18030
421,421,17991
422,422,17947
423,423,17904
424,424,17859
425,425,17807
426,426,17764
427,427,17711
428,428,17653
429,429,17602
430,430,17547
431,431,17495
432,432,17437
433,433,17392
434,434,17338
435,435,17288
436,436,17246
437,437,17197
438,438,17150
439,439,17095
440,440,17055
441,441,17006
442,442,16955
443,443,16907
444,444,16857
445,445,16806
446,446,16756
447,447,16711
448,448,16666
449,449,16617
450,450,16572
451,451,16524
452,452,16475
453,453,16427
454,454,16389
455,455,16333
456,456,16288
457,457,16245
458,458,16196
459,459,16150
460,460,16113
461,461,16063
462,462,16016
463,463,15974
464,464,15934
465,465,15894
466,466,15842
467,467,15794
468,468,15758
469,469,15717
470,470,15671
471,471,15638
472,472,15596
473,473,15556
474,474,15507
475,475,15474
476,476,15427
477,477,15388
478,478,15353
479,479,15309
480,480,15270
481,481,15232
482,482,15190
483,483,15148
484,484,15096
485,485,15054
486,486,15008
487,487,14958
488,488,14902
489,489,14858
490,490,14818
491,491,14771
492,492,14727
493,493,14689
494,494,14650
495,495,14613
496,496,14582
497,497,14540
498,498,14500
499,499,14465
500,500,14429
501,501,14394
502,502,14356
503,503,14322
504,504,14295
505,505,14255
506,506,14222
507,507,14194
508,508,14161
509,509,14130
510,510,14097
511,511,14064
512,512,14032
513,513,14000
514,514,13966
515,515,13930
516,516,13903
517,517,13866
518,518,13831
519,519,13800
520,520,13764
521,521,13733
522,522,13700
523,523,13663
524,524,13629
525,525,13598
526,526,13558
527,527,13527
528,528,13492
529,529,13453
530,530,13420
531,531,13381
532,532,13350
533,533,13311
534,534,13279
535,535,13241
536,536,13206
537,537,13173
538,538,13133
539,539,13101
540,540,13062
541,541,13031
542,542,12994
543,543,12958
544,544,12916
545,545,12874
546,546,12829
547,547,12786
548,548,12754
549,549,12716
550,550,12672
551,551,12635
552,552,12595
553,553,12557
554,554,12517
555,555,12479
556,556,12442
557,557,12402
558,558,12363
559,559,12323
560,560,12287
561,561,12253
562,562,12215
563,563,12178
564,564,12147
565,565,12106
566,566,12065
567,567,12034
568,568,12001
569,569,11965
570,570,11930
571,571,11891
572,572,11863
573,573,11832
574,574,11799
575,575,11770
576,576,11734
577,577,11705
578,578,11675
579,579,11643
580,580,11616
581,581,11591
582,582,11559
583,583,11528
584,584,11501
585,585,11471
586,586,11447
587,587,11415
588,588,11386
589,589,11362
590,590,11331
591,591,11309
592,592,11279
593,593,11250
594,594,11219
595,595,11197
596,596,11166
597,597,11140
598,598,11113
599,599,11088
600,600,11062
601,601,11031
602,602,11003
603,603,10974
604,604,10933
605,605,10903
606,606,10873
607,607,10832
608,608,10797
609,609,10773
610,610,10740
611,611,10713
612,612,10687
613,613,10657
614,614,10633
615,615,10604
616,616,10576
617,617,10552
618,618,10522
619,619,10499
620,620,10471
621,621,10440
622,622,10414
623,623,10383
624,624,10360
625,625,10330
626,626,10304
627,627,10283
628,628,10253
629,629,10231
630,630,10205
631,631,10179
632,632,10154
633,633,10128
634,634,10103
635,635,10076
636,636,10052
637,637,10033
638,638,10008
639,639,9980
640,640,9951
641,641,9926
642,642,9901
643,643,9879
644,644,9851
645,645,9825
646,646,9793
647,647,9768
648,648,9745
649,649,9719
650,650,9697
651,651,9671
652,652,9648
653,653,9625
654,654,9600
655,655,9577
656,656,9550
657,657,9525
658,658,9499
659,659,9472
660,660,9447
661,661,9420
662,662,9401
663,663,9373
664,664,9345
665,665,9322
666,666,9294
667,667,9271
668,668,9246
669,669,9225
670,670,9195
671,671,9170
672,672,9148
673,673,9117
674,674,9091
675,675,9063
676,676,9037
677,677,9013
678,678,8982
679,679,8959
680,680,8930
681,681,8901
682,682,8875
683,683,8852
684,684,8825
685,685,8801
686,686,8777
687,687,8751
688,688,8718
689,689,8691
690,690,8666
691,691,8638
692,692,8613
693,693,8584
694,694,8558
695,695,8531
696,696,8504
697,697,8481
698,698,8452
699,699,8429
700,700,8403
701,701,8382
702,702,8355
703,703,8333
704,704,8310
705,705,8291
706,706,8269
707,707,8249
708,708,8228
709,709,8209
710,710,8189
711,711,8165
712,712,8145
713,713,8127
714,714,8107
715,715,8089
716,716,8071
717,717,8052
718,718,8030
719,719,8013
720,720,7989
721,721,7968
722,722,7948
723,723,7927
724,724,7904
725,725,7881
726,726,7856
727,727,7830
728,728,7807
729,729,7783
730,730,7762
731,731,7741
732,732,7718
733,733,7699
734,734,7678
735,735,7656
736,736,7634
737,737,7615
738,738,7592
739,739,7571
740,740,7551
741,741,7529
742,742,7509
743,743,7485
744,744,7463
745,745,7444
746,746,7421
747,747,7401
748,748,7382
749,749,7362
750,750,7339
751,751,7318
752,752,7298
753,753,7276
754,754,7257
755,755,7232
756,756,7213
757,757,7188
758,758,7167
759,759,7144
760,760,7122
761,761,7097
762,762,7076
763,763,7050
764,764,7025
765,765,7003
766,766,6980
767,767,6959
768,768,6938
769,769,6914
770,770,6893
771,771,6870
772,772,6842
773,773,6824
774,774,6801
775,775,6777
776,776,6757
777,777,6730
778,778,6705
779,779,6682
780,780,6660
781,781,6638
782,782,6616
783,783,6590
784,784,6571
785,785,6548
786,786,6529
787,787,6510
788,788,6486
789,789,6465
790,790,6445
791,791,6421
792,792,6403
793,793,6384
794,794,6362
795,795,6341
796,796,6316
797,797,6295
798,798,6276
799,799,6252
800,800,6233
801,801,6213
802,802,6191
803,803,6173
804,804,6148
805,805,6134
806,806,6111
807,807,6091
808,808,6071
809,809,6054
810,810,6036
811,811,6014
812,812,5994
813,813,5975
814,814,5957
815,815,5940
816,816,5919
817,817,5903
818,818,5881
819,819,5861
820,820,5846
821,821,5827
822,822,5807
823,823,5787
824,824,5771
825,825,5749
826,826,5730
827,827,5714
828,828,5692
829,829,5672
830,830,5651
831,831,5633
832,832,5615
833,833,5595
834,834,5577
835,835,5557
836,836,5535
837,837,5516
838,838,5499
839,839,5480
840,840,5461
841,841,5445
842,842,5422
843,843,5402
844,844,5377
845,845,5350
846,846,5329
847,847,5307
848,848,5287
849,849,5267
850,850,5248
851,851,5225
852,852,5205
853,853,5182
854,854,5164
855,855,5139
856,856,5125
857,857,5101
858,858,5082
859,859,5060
860,860,5044
861,861,5022
862,862,5003
863,863,4981
864,864,4963
865,865,4946
866,866,4925
867,867,4905
868,868,4890
869,869,4869
870,870,4849
871,871,4826
872,872,4811
873,873,4794
874,874,4778
875,875,4758
876,876,4744
877,877,4722
878,878,4705
879,879,4688
880,880,4673
881,881,4651
882,882,4634
883,883,4615
884,884,4597
885,885,4581
886,886,4563
887,887,4542
888,888,4526
889,889,4505
890,890,4487
891,891,4469
892,892,4447
893,893,4428
894,894,4404
895,895,4390
896,896,4373
897,897,4353
898,898,4336
899,899,4315
900,900,4299
901,901,4282
902,902,4266
903,903,4247
904,904,4227
905,905,4210
906,906,4190
907,907,4169
908,908,4155
909,909,4137
910,910,4117
911,911,4101
912,912,4083
913,913,4065
914,914,4047
915,915,4027
916,916,4005
917,917,3989
918,918,3968
919,919,3949
920,920,3929
921,921,3911
922,922,3893
923,923,3870
924,924,3850
925,925,3836
926,926,3816
927,927,3794
928,928,3774
929,929,3753
930,930,3738
931,931,3717
932,932,3699
933,933,3674
934,934,3658
935,935,3636
936,936,3618
937,937,3600
938,938,3579
939,939,3562
940,940,3540
941,941,3524
942,942,3505
943,943,3487
944,944,3470
945,945,3454
946,946,3438
947,947,3418
948,948,3401
949,949,3384
950,950,3368
951,951,3355
952,952,3336
953,953,3326
954,954,3308
955,955,3294
956,956,3279
957,957,3262
958,958,3250
959,959,3236
960,960,3221
961,961,3208
962,962,3194
963,963,3181
964,964,3165
965,965,3150
966,966,3137
967,967,3121
968,968,3103
969,969,3091
970,970,3077
971,971,3059
972,972,3048
973,973,3036
974,974,3023
975,975,3009
976,976,2991
977,977,2981
978,978,2966
979,979,2950
980,980,2940
981,981,2925
982,982,2909
983,983,2893
984,984,2879
985,985,2865
986,986,2854
987,987,2840
988,988,2825
989,989,2811
990,990,2797
991,991,2784
992,992,2772
993,993,2757
994,994,2745
995,995,2732
996,996,2719
997,997,2705
998,998,2691
999,999,2680
1000,1000,2668
1001,1001,2655
1002,1002,2643
1003,1003,2630
1004,1004,2619
1005,1005,2605
1006,1006,2593
1007,1007,2582
1008,1008,2569
1009,1009,2556
1010,1010,2546
1011,1011,2531
1012,1012,2520
1013,1013,2505
1014,1014,2492
1015,1015,2479
1016,1016,2466
1017,1017,2455
1018,1018,2442
1019,1019,2429
1020,1020,2416
1021,1021,2402
1022,1022,2390
1023,1023,2378
1024,1024,2367
1025,1025,2351
1026,1026,2335
1027,1027,2321
1028,1028,2309
1029,1029,2298
1030,1030,2282
1031,1031,2270
1032,1032,2258
1033,1033,2242
1034,1034,2224
