step,time,alive
0,0,45748
1,1,45568
2,2,45083
3,3,44418
4,4,43935
5,5,43742
6,6,43616
7,7,43494
8,8,43365
9,9,43237
10,10,43084
11,11,42949
12,12,42842
13,13,42730
14,14,42613
15,15,42514
16,16,42400
17,17,42277
18,18,42190
19,19,42091
20,20,41987
21,21,41886
22,22,41788
23,23,41693
24,24,41600
25,25,41498
26,26,41405
27,27,41298
28,28,41195
29,29,41104
30,30,40994
31,31,40917
32,32,40816
33,33,40713
34,34,40601
35,35,40505
36,36,40400
37,37,40318
38,38,40219
39,39,40126
40,40,40028
41,41,39919
42,42,39827
43,43,39728
44,44,39640
45,45,39539
46,46,39442
47,47,39340
48,48,39252
49,49,39156
50,50,39060
51,51,38963
52,52,38867
53,53,38773
54,54,38675
55,55,38578
56,56,38477
57,57,38386
58,58,38289
59,59,38195
60,60,38102
61,61,38004
62,62,37910
63,63,37812
64,64,37687
65,65,37533
66,66,37369
67,67,37204
68,68,37036
69,69,36868
70,70,36706
71,71,36559
72,72,36438
73,73,36322
74,74,36215
75,75,36099
76,76,35986
77,77,35877
78,78,35771
79,79,35680
80,80,35577
81,81,35485
82,82,35386
83,83,35290
84,84,35203
85,85,35119
86,86,35031
87,87,34947
88,88,34866
89,89,34784
90,90,34711
91,91,34642
92,92,34558
93,93,34487
94,94,34408
95,95,34324
96,96,34259
97,97,34187
98,98,34105
99,99,34033
100,100,33961
101,101,33891
102,102,33817
103,103,33750
104,104,33683
105,105,33604
106,106,33530
107,107,33463
108,108,33381
109,109,33308
110,110,33232
111,111,33165
112,112,33090
113,113,33015
114,114,32939
115,115,32862
116,116,32782
117,117,32710
118,118,32636
119,119,32566
120,120,32492
121,121,32419
122,122,32351
123,123,32270
124,124,32189
125,125,32097
126,126,32000
127,127,31911
128,128,31808
129,129,31716
130,130,31627
131,131,31549
132,132,31478
133,133,31398
134,134,31325
135,135,31262
136,136,31197
137,137,31126
138,138,31064
139,139,30997
140,140,30931
141,141,30863
142,142,30798
143,143,30741
144,144,30677
145,145,30612
146,146,30552
147,147,30486
148,148,30423
149,149,30356
150,150,30289
151,151,30221
152,152,30165
153,153,30098
154,154,30030
155,155,29966
156,156,29903
157,157,29834
158,158,29769
159,159,29702
160,160,29633
161,161,29573
162,162,29502
163,163,29434
164,164,29365
165,165,29302
166,166,29240
167,167,29176
168,168,29103
169,169,29040
170,170,28972
171,171,28904
172,172,28849
173,173,28777
174,174,28713
175,175,28646
176,176,28589
177,177,28525
178,178,28460
179,179,28394
180,180,28338
181,181,28283
182,182,28216
183,183,28152
184,184,28075
185,185,28006
186,186,27925
187,187,27847
188,188,27772
189,189,27700
190,190,27624
191,191,27558
192,192,27492
193,193,27434
194,194,27376
195,195,27306
196,196,27242
197,197,27190
198,198,27134
199,199,27075
200,200,27019
201,201,26949
202,202,26886
203,203,26829
204,204,26766
205,205,26705
206,206,26643
207,207,26586
208,208,26526
209,209,26467
210,210,26410
211,211,26348
212,212,26292
213,213,26243
214,214,26185
215,215,26129
216,216,26071
217,217,26014
218,218,25957
219,219,25902
220,220,25838
221,221,25786
222,222,25733
223,223,25676
224,224,25622
225,225,25574
226,226,25516
227,227,25469
228,228,25412
229,229,25362
230,230,25312
231,231,25258
232,232,25205
233,233,25151
234,234,25093
235,235,25048
236,236,24997
237,237,24947
238,238,24893
239,239,24848
240,240,24785
241,241,24735
242,242,24679
243,243,24629
244,244,24573
245,245,24511
246,246,24450
247,247,24381
248,248,24331
249,249,24264
250,250,24208
251,251,24147
252,252,24094
253,253,24043
254,254,23999
255,255,23943
256,256,23895
257,257,23844
258,258,23795
259,259,23745
260,260,23704
261,261,23653
262,262,23611
263,263,23559
264,264,23518
265,265,23475
266,266,23426
267,267,23383
268,268,23343
269,269,23295
270,270,23247
271,271,23199
272,272,23155
273,273,23104
274,274,23064
275,275,23020
276,276,22979
277,277,22932
278,278,22897
279,279,22844
280,280,22801
281,281,22753
282,282,22715
283,283,22670
284,284,22622
285,285,22573
286,286,22526
287,287,22486
288,288,22435
289,289,22390
290,290,22342
291,291,22293
292,292,22246
293,293,22202
294,294,22156
295,295,22112
296,296,22065
297,297,22020
298,298,21970
299,299,21928
300,300,21881
301,301,21824
302,302,21789
303,303,21737
304,304,21686
305,305,21629
306,306,21579
307,307,21520
308,308,21469
309,309,21414
310,310,21360
311,311,21308
312,312,21257
313,313,21209
314,314,21156
315,315,21106
316,316,21055
317,317,21003
318,318,20952
319,319,20892
320,320,20849
321,321,20800
322,322,20750
323,323,20699
324,324,20646
325,325,20596
326,326,20549
327,327,20501
328,328,20447
329,329,20402
330,330,20351
331,331,20302
332,332,20253
333,333,20205
334,334,20158
335,335,20108
336,336,20061
337,337,20019
338,338,19973
339,339,19929
340,340,19888
341,341,19847
342,342,19801
343,343,19754
344,344,19710
345,345,19665
346,346,19623
347,347,19580
348,348,19540
349,349,19494
350,350,19446
351,351,19406
352,352,19361
353,353,19318
354,354,19270
355,355,19219
356,356,19182
357,357,19130
358,358,19091
359,359,19048
360,360,19000
361,361,18957
362,362,18919
363,363,18873
364,364,18820
365,365,18765
366,366,18720
367,367,18668
368,368,18617
369,369,18568
370,370,18519
371,371,18474
372,372,18435
373,373,18390
374,374,18350
375,375,18296
376,376,18256
377,377,18210
378,378,18172
379,379,18134
380,380,18094
381,381,18055
382,382,18012
383,383,17970
384,384,17936
385,385,17893
386,386,17857
387,387,17812
388,388,17774
389,389,17730
390,390,17689
391,391,17654
392,392,17618
393,393,17577
394,394,17537
395,395,17493
396,396,17459
397,397,17421
398,398,17381
399,399,17343
400,400,17300
401,401,17261
402,402,17219
403,403,17183
404,404,17144
405,405,17104
406,406,17063
407,407,17025
408,408,16987
409,409,16945
410,410,16900
411,411,16864
412,412,16827
413,413,16784
414,414,16742
415,415,16708
416,416,16662
417,417,16623
418,418,16584
419,419,16547
420,420,16505
421,421,16461
422,422,16425
423,423,16375
424,424,16332
425,425,16285
426,426,16235
427,427,16195
428,428,16152
429,429,16105
430,430,16065
431,431,16025
432,432,15979
433,433,15930
434,434,15889
435,435,15846
436,436,15805
437,437,15765
438,438,15727
439,439,15688
440,440,15636
441,441,15593
442,442,15553
443,443,15506
444,444,15458
445,445,15409
446,446,15369
447,447,15319
448,448,15272
449,449,15230
450,450,15178
451,451,15138
452,452,15095
453,453,15054
454,454,15014
455,455,14969
456,456,14921
457,457,14884
458,458,14850
459,459,14803
460,460,14760
461,461,14719
462,462,14677
