step,time,alive
0,0,42771
1,1,42603
2,2,42128
3,3,41482
4,4,41042
5,5,40879
6,6,40759
7,7,40633
8,8,40512
9,9,40387
10,10,40243
11,11,40125
12,12,40006
13,13,39896
14,14,39786
15,15,39678
16,16,39567
17,17,39463
18,18,39366
19,19,39277
20,20,39175
21,21,39085
22,22,38996
23,23,38890
24,24,38796
25,25,38697
26,26,38601
27,27,38505
28,28,38409
29,29,38310
30,30,38220
31,31,38119
32,32,38027
33,33,37941
34,34,37844
35,35,37760
36,36,37666
37,37,37575
38,38,37478
39,39,37397
40,40,37311
41,41,37230
42,42,37141
43,43,37058
44,44,36964
45,45,36875
46,46,36791
47,47,36708
48,48,36624
49,49,36543
50,50,36451
51,51,36367
52,52,36279
53,53,36187
54,54,36111
55,55,36030
56,56,35942
57,57,35862
58,58,35777
59,59,35681
60,60,35599
61,61,35519
62,62,35434
63,63,35349
64,64,35266
65,65,35186
66,66,35100
67,67,35012
68,68,34930
69,69,34846
70,70,34758
71,71,34673
72,72,34590
73,73,34500
74,74,34420
75,75,34339
76,76,34259
77,77,34181
78,78,34084
79,79,34012
80,80,33924
81,81,33847
82,82,33766
83,83,33683
84,84,33605
85,85,33521
86,86,33437
87,87,33362
88,88,33280
89,89,33195
90,90,33116
91,91,33042
92,92,32950
93,93,32876
94,94,32798
95,95,32712
96,96,32648
97,97,32561
98,98,32489
99,99,32417
100,100,32343
101,101,32259
102,102,32195
103,103,32108
104,104,32038
105,105,31966
106,106,31891
107,107,31810
108,108,31736
109,109,31662
110,110,31591
111,111,31509
112,112,31431
113,113,31365
114,114,31293
115,115,31218
116,116,31138
117,117,31077
118,118,31002
119,119,30929
120,120,30859
121,121,30789
122,122,30716
123,123,30643
124,124,30574
125,125,30507
126,126,30436
127,127,30366
128,128,30293
129,129,30223
130,130,30150
131,131,30082
132,132,30001
133,133,29938
134,134,29875
135,135,29805
136,136,29730
137,137,29660
138,138,29594
139,139,29517
140,140,29451
141,141,29378
142,142,29315
143,143,29251
144,144,29175
145,145,29103
146,146,29037
147,147,28968
148,148,28896
149,149,28829
150,150,28769
151,151,28699
152,152,28631
153,153,28556
154,154,28489
155,155,28420
156,156,28347
157,157,28285
158,158,28219
159,159,28154
160,160,28087
161,161,28018
162,162,27952
163,163,27884
164,164,27815
165,165,27760
166,166,27685
167,167,27624
168,168,27560
169,169,27489
170,170,27423
171,171,27361
172,172,27301
173,173,27230
174,174,27172
175,175,27100
176,176,27036
177,177,26972
178,178,26900
179,179,26846
180,180,26777
181,181,26711
182,182,26647
183,183,26582
184,184,26519
185,185,26454
186,186,26395
187,187,26332
188,188,26263
189,189,26196
190,190,26137
191,191,26082
192,192,26015
193,193,25954
194,194,25886
195,195,25823
196,196,25759
197,197,25697
198,198,25643
199,199,25577
200,200,25513
201,201,25455
202,202,25394
203,203,25333
204,204,25274
205,205,25211
206,206,25155
207,207,25090
208,208,25025
209,209,24963
210,210,24905
211,211,24846
212,212,24787
213,213,24722
214,214,24662
215,215,24609
216,216,24548
217,217,24488
218,218,24429
219,219,24373
220,220,24315
221,221,24254
222,222,24197
223,223,24137
224,224,24083
225,225,24021
226,226,23960
227,227,23905
228,228,23849
229,229,23787
230,230,23736
231,231,23677
232,232,23618
233,233,23562
234,234,23507
235,235,23446
236,236,23394
237,237,23338
238,238,23287
239,239,23222
240,240,23169
241,241,23116
242,242,23058
243,243,23006
244,244,22948
245,245,22899
246,246,22841
247,247,22787
248,248,22728
249,249,22676
250,250,22619
251,251,22570
252,252,22516
253,253,22457
254,254,22404
255,255,22349
256,256,22295
257,257,22243
258,258,22187
259,259,22137
260,260,22087
261,261,22031
262,262,21979
263,263,21927
264,264,21873
265,265,21816
266,266,21765
267,267,21723
268,268,21663
269,269,21612
270,270,21560
271,271,21514
272,272,21459
273,273,21411
274,274,21361
275,275,21309
276,276,21256
277,277,21206
278,278,21150
279,279,21100
280,280,21051
281,281,20999
282,282,20945
283,283,20902
284,284,20844
285,285,20801
286,286,20748
287,287,20696
288,288,20648
289,289,20592
290,290,20543
291,291,20493
292,292,20442
293,293,20396
294,294,20351
295,295,20292
296,296,20243
297,297,20201
298,298,20147
299,299,20101
300,300,20040
301,301,19990
302,302,19942
303,303,19890
304,304,19838
305,305,19781
306,306,19737
307,307,19684
308,308,19635
309,309,19576
310,310,19528
311,311,19472
312,312,19428
313,313,19377
314,314,19327
315,315,19275
316,316,19221
317,317,19172
318,318,19130
319,319,19074
320,320,19016
321,321,18967
322,322,18921
323,323,18866
324,324,18818
325,325,18770
326,326,18717
327,327,18672
328,328,18616
329,329,18565
330,330,18519
331,331,18468
332,332,18423
333,333,18368
334,334,18321
335,335,18275
336,336,18225
337,337,18173
338,338,18122
339,339,18074
340,340,18032
341,341,17986
342,342,17940
343,343,17889
344,344,17838
345,345,17793
346,346,17745
347,347,17697
348,348,17650
349,349,17601
350,350,17552
351,351,17502
352,352,17450
353,353,17407
354,354,17361
355,355,17318
356,356,17267
357,357,17218
358,358,17170
359,359,17120
360,360,17079
361,361,17030
362,362,16981
363,363,16929
364,364,16883
365,365,16832
366,366,16790
367,367,16741
368,368,16687
369,369,16641
370,370,16592
371,371,16546
372,372,16498
373,373,16452
374,374,16398
375,375,16352
376,376,16302
377,377,16261
378,378,16207
379,379,16168
380,380,16120
381,381,16068
382,382,16019
383,383,15975
384,384,15924
385,385,15875
386,386,15827
387,387,15779
388,388,15733
389,389,15684
390,390,15637
391,391,15590
392,392,15540
393,393,15499
394,394,15450
395,395,15404
396,396,15353
397,397,15305
398,398,15262
399,399,15217
400,400,15159
401,401,15116
402,402,15065
403,403,15020
404,404,14982
405,405,14925
406,406,14884
407,407,14836
408,408,14783
409,409,14746
410,410,14695
411,411,14649
412,412,14597
413,413,14552
414,414,14510
415,415,14460
416,416,14415
417,417,14363
418,418,14321
419,419,14275
420,420,14226
421,421,14184
422,422,14139
423,423,14090
424,424,14047
425,425,13996
426,426,13956
427,427,13913
428,428,13866
429,429,13822
430,430,13787
431,431,13737
432,432,13694
433,433,13651
434,434,13614
435,435,13568
436,436,13523
437,437,13480
438,438,13441
439,439,13403
440,440,13356
441,441,13313
442,442,13271
443,443,13228
444,444,13184
445,445,13144
446,446,13104
447,447,13065
448,448,13023
449,449,12983
450,450,12933
451,451,12894
452,452,12853
453,453,12809
454,454,12765
455,455,12726
456,456,12695
457,457,12641
458,458,12603
459,459,12558
460,460,12523
461,461,12483
462,462,12443
463,463,12404
464,464,12366
465,465,12326
466,466,12291
467,467,12261
468,468,12218
469,469,12175
470,470,12136
471,471,12106
472,472,12074
473,473,12037
474,474,11998
475,475,11956
476,476,11923
477,477,11891
478,478,11854
479,479,11820
480,480,11783
481,481,11755
482,482,11718
483,483,11682
484,484,11648
485,485,11611
486,486,11580
487,487,11542
488,488,11511
489,489,11475
490,490,11438
491,491,11404
492,492,11374
493,493,11335
494,494,11303
495,495,11268
496,496,11232
497,497,11201
498,498,11166
499,499,11131
500,500,11102
501,501,11063
502,502,11030
503,503,10993
504,504,10967
505,505,10932
506,506,10891
507,507,10858
508,508,10826
509,509,10792
510,510,10762
511,511,10727
512,512,10692
513,513,10660
514,514,10628
515,515,10591
516,516,10557
517,517,10528
518,518,10492
519,519,10456
520,520,10423
521,521,10389
522,522,10354
523,523,10329
524,524,10292
525,525,10263
526,526,10227
527,527,10195
528,528,10164
529,529,10124
530,530,10097
531,531,10063
532,532,10036
533,533,9999
534,534,9972
535,535,9932
536,536,9904
537,537,9875
538,538,9835
539,539,9803
540,540,9767
541,541,9736
542,542,9705
543,543,9676
544,544,9642
545,545,9609
546,546,9576
547,547,9541
548,548,9515
549,549,9478
550,550,9449
551,551,9417
552,552,9388
553,553,9352
554,554,9323
555,555,9288
556,556,9261
557,557,9228
558,558,9193
559,559,9165
560,560,9131
561,561,9105
562,562,9077
563,563,9047
564,564,9014
565,565,8986
566,566,8957
567,567,8928
568,568,8896
569,569,8869
570,570,8835
571,571,8811
572,572,8784
573,573,8756
574,574,8721
575,575,8694
576,576,8665
577,577,8636
578,578,8617
579,579,8584
580,580,8562
581,581,8536
582,582,8509
583,583,8484
584,584,8461
585,585,8434
586,586,8413
587,587,8383
588,588,8362
589,589,8337
590,590,8309
591,591,8287
592,592,8262
593,593,8241
594,594,8212
595,595,8186
596,596,8168
597,597,8141
598,598,8117
599,599,8090
600,600,8067
601,601,8042
602,602,8018
603,603,7991
604,604,7968
605,605,7948
606,606,7920
607,607,7896
608,608,7874
609,609,7849
610,610,7825
611,611,7798
612,612,7774
613,613,7750
614,614,7725
615,615,7700
616,616,7675
617,617,7651
618,618,7626
619,619,7602
620,620,7579
621,621,7554
622,622,7527
623,623,7504
624,624,7477
625,625,7455
626,626,7432
627,627,7407
628,628,7381
629,629,7359
630,630,7331
631,631,7307
632,632,7282
633,633,7262
634,634,7236
635,635,7213
636,636,7188
637,637,7164
638,638,7141
639,639,7109
640,640,7087
641,641,7062
642,642,7040
643,643,7020
644,644,6991
645,645,6969
646,646,6945
647,647,6923
648,648,6897
649,649,6872
650,650,6849
651,651,6826
652,652,6806
653,653,6783
654,654,6754
655,655,6732
656,656,6710
657,657,6686
658,658,6660
659,659,6639
660,660,6614
661,661,6594
662,662,6569
663,663,6552
664,664,6529
665,665,6513
666,666,6492
667,667,6474
668,668,6455
669,669,6434
670,670,6414
671,671,6392
672,672,6368
673,673,6355
674,674,6337
675,675,6313
676,676,6298
677,677,6282
678,678,6261
679,679,6242
680,680,6220
681,681,6204
682,682,6184
683,683,6170
684,684,6150
685,685,6137
686,686,6114
687,687,6098
688,688,6082
689,689,6063
690,690,6048
691,691,6029
692,692,6011
693,693,5989
694,694,5974
695,695,5954
696,696,5938
697,697,5920
698,698,5905
699,699,5887
700,700,5870
701,701,5855
702,702,5840
703,703,5819
704,704,5802
705,705,5784
706,706,5767
707,707,5747
708,708,5730
709,709,5716
710,710,5696
711,711,5678
712,712,5667
713,713,5649
714,714,5631
715,715,5615
716,716,5599
717,717,5582
718,718,5564
719,719,5544
720,720,5529
721,721,5509
722,722,5492
723,723,5478
724,724,5462
725,725,5444
726,726,5425
727,727,5410
728,728,5393
729,729,5373
730,730,5361
731,731,5343
732,732,5326
733,733,5308
734,734,5290
735,735,5276
736,736,5256
737,737,5240
738,738,5221
739,739,5201
740,740,5184
741,741,5172
742,742,5152
743,743,5135
744,744,5116
745,745,5100
746,746,5085
747,747,5070
748,748,5051
749,749,5032
750,750,5015
751,751,4998
752,752,4978
753,753,4959
754,754,4948
755,755,4928
756,756,4913
757,757,4898
758,758,4875
759,759,4862
760,760,4844
761,761,4826
762,762,4814
763,763,4797
764,764,4779
765,765,4762
766,766,4747
767,767,4728
768,768,4713
769,769,4696
770,770,4678
771,771,4664
772,772,4649
773,773,4631
774,774,4617
775,775,4597
776,776,4576
777,777,4561
778,778,4544
779,779,4530
780,780,4513
781,781,4493
782,782,4479
783,783,4458
784,784,4443
785,785,4426
786,786,4408
787,787,4392
788,788,4377
789,789,4360
790,790,4340
791,791,4324
792,792,4305
793,793,4286
794,794,4276
795,795,4259
796,796,4240
797,797,4224
798,798,4208
799,799,4192
800,800,4177
801,801,4160
802,802,4142
803,803,4126
804,804,4108
805,805,4092
806,806,4076
807,807,4058
808,808,4044
809,809,4027
810,810,4007
811,811,3990
812,812,3972
813,813,3956
814,814,3942
815,815,3921
816,816,3905
817,817,3893
818,818,3872
819,819,3858
820,820,3838
821,821,3819
822,822,3802
823,823,3785
824,824,3768
825,825,3749
826,826,3734
827,827,3717
828,828,3702
829,829,3688
830,830,3671
831,831,3651
832,832,3632
833,833,3615
834,834,3601
835,835,3585
836,836,3572
837,837,3552
838,838,3534
839,839,3518
840,840,3500
841,841,3484
842,842,3469
843,843,3448
844,844,3432
845,845,3417
846,846,3403
847,847,3388
848,848,3373
849,849,3356
850,850,3343
851,851,3329
852,852,3314
853,853,3299
854,854,3284
855,855,3272
856,856,3253
857,857,3242
858,858,3228
859,859,3213
860,860,3197
