step,time,alive
0,0,22224
1,1,22066
2,2,21773
3,3,21490
4,4,21207
5,5,20996
6,6,20865
7,7,20740
8,8,20621
9,9,20506
10,10,20400
11,11,20298
12,12,20199
13,13,20108
14,14,20012
15,15,19924
16,16,19844
17,17,19768
18,18,19678
19,19,19592
20,20,19519
21,21,19439
22,22,19366
23,23,19290
24,24,19211
25,25,19133
26,26,19059
27,27,18989
28,28,18925
29,29,18851
30,30,18774
31,31,18716
32,32,18636
33,33,18568
34,34,18492
35,35,18426
36,36,18364
37,37,18293
38,38,18220
39,39,18160
40,40,18096
41,41,18030
42,42,17966
43,43,17896
44,44,17828
45,45,17765
46,46,17705
47,47,17641
48,48,17580
49,49,17519
50,50,17462
51,51,17399
52,52,17340
53,53,17282
54,54,17227
55,55,17174
56,56,17117
57,57,17069
58,58,17006
59,59,16956
60,60,16898
61,61,16849
62,62,16800
63,63,16745
64,64,16692
65,65,16640
66,66,16593
67,67,16536
68,68,16484
69,69,16436
70,70,16382
71,71,16326
72,72,16274
73,73,16225
74,74,16169
75,75,16120
76,76,16064
77,77,16012
78,78,15960
79,79,15914
80,80,15866
81,81,15812
82,82,15760
83,83,15710
84,84,15663
85,85,15608
86,86,15560
87,87,15507
88,88,15466
89,89,15418
90,90,15372
91,91,15324
92,92,15280
93,93,15235
94,94,15193
95,95,15149
96,96,15105
97,97,15057
98,98,15018
99,99,14968
100,100,14925
101,101,14882
102,102,14835
103,103,14798
104,104,14753
105,105,14711
106,106,14663
107,107,14621
108,108,14579
109,109,14537
110,110,14491
111,111,14450
112,112,14415
113,113,14364
114,114,14318
115,115,14279
116,116,14232
117,117,14187
118,118,14149
119,119,14105
120,120,14056
121,121,14014
122,122,13974
123,123,13935
124,124,13889
125,125,13849
126,126,13812
127,127,13766
128,128,13723
129,129,13682
130,130,13631
131,131,13593
132,132,13546
133,133,13512
134,134,13468
135,135,13429
136,136,13385
137,137,13339
138,138,13298
139,139,13251
140,140,13213
141,141,13171
142,142,13129
143,143,13083
144,144,13046
145,145,13004
146,146,12958
147,147,12921
148,148,12876
149,149,12835
150,150,12796
151,151,12747
152,152,12707
153,153,12665
154,154,12623
155,155,12580
156,156,12544
157,157,12501
158,158,12458
159,159,12422
160,160,12382
161,161,12347
162,162,12308
163,163,12270
164,164,12226
165,165,12187
166,166,12149
167,167,12113
168,168,12072
169,169,12031
170,170,11997
171,171,11952
172,172,11914
173,173,11878
174,174,11838
175,175,11797
176,176,11758
177,177,11720
178,178,11683
179,179,11644
180,180,11606
181,181,11565
182,182,11530
183,183,11492
184,184,11454
185,185,11423
186,186,11390
187,187,11352
188,188,11320
189,189,11281
190,190,11253
191,191,11215
192,192,11180
193,193,11143
194,194,11110
195,195,11076
196,196,11039
197,197,10997
198,198,10967
199,199,10934
200,200,10898
201,201,10868
202,202,10832
203,203,10800
204,204,10766
205,205,10731
206,206,10696
207,207,10660
208,208,10628
209,209,10599
210,210,10559
211,211,10535
212,212,10498
213,213,10464
214,214,10428
215,215,10404
216,216,10366
217,217,10331
218,218,10300
219,219,10272
220,220,10247
221,221,10214
222,222,10184
223,223,10146
224,224,10120
225,225,10087
226,226,10057
227,227,10026
228,228,9997
229,229,9968
230,230,9942
231,231,9907
232,232,9875
233,233,9843
234,234,9816
235,235,9784
236,236,9755
237,237,9726
238,238,9696
239,239,9666
240,240,9635
241,241,9606
242,242,9577
243,243,9543
244,244,9516
245,245,9487
246,246,9456
247,247,9428
248,248,9401
249,249,9369
250,250,9339
251,251,9311
252,252,9279
253,253,9253
254,254,9222
255,255,9192
256,256,9166
257,257,9137
258,258,9106
259,259,9075
260,260,9047
261,261,9019
262,262,8989
263,263,8958
264,264,8931
265,265,8905
266,266,8876
267,267,8847
268,268,8817
269,269,8791
270,270,8760
271,271,8729
272,272,8704
273,273,8674
274,274,8645
275,275,8620
276,276,8592
277,277,8564
278,278,8532
279,279,8504
280,280,8479
281,281,8447
282,282,8417
283,283,8390
284,284,8364
285,285,8338
286,286,8308
287,287,8278
288,288,8254
289,289,8224
290,290,8199
291,291,8166
292,292,8139
293,293,8113
294,294,8083
295,295,8057
296,296,8030
297,297,8003
298,298,7975
299,299,7948
300,300,7918
301,301,7893
302,302,7868
303,303,7839
304,304,7814
305,305,7787
306,306,7757
307,307,7732
308,308,7704
309,309,7679
310,310,7653
311,311,7624
312,312,7595
313,313,7573
314,314,7546
315,315,7519
316,316,7496
317,317,7472
318,318,7443
319,319,7417
320,320,7397
321,321,7367
322,322,7343
323,323,7319
324,324,7296
325,325,7271
326,326,7245
327,327,7225
328,328,7200
329,329,7179
330,330,7153
331,331,7131
332,332,7102
333,333,7084
334,334,7055
335,335,7033
336,336,7014
337,337,6992
338,338,6969
339,339,6945
340,340,6922
341,341,6898
342,342,6877
343,343,6858
344,344,6838
345,345,6814
346,346,6792
347,347,6770
348,348,6748
349,349,6727
350,350,6706
351,351,6690
352,352,6671
353,353,6650
354,354,6629
355,355,6609
356,356,6592
357,357,6572
358,358,6549
359,359,6534
360,360,6512
361,361,6494
362,362,6475
363,363,6456
364,364,6438
365,365,6419
366,366,6398
367,367,6379
368,368,6361
369,369,6339
370,370,6321
371,371,6303
372,372,6284
373,373,6264
374,374,6245
375,375,6226
376,376,6206
377,377,6189
378,378,6170
379,379,6152
380,380,6134
381,381,6115
382,382,6094
383,383,6082
384,384,6063
385,385,6045
386,386,6029
387,387,6009
388,388,5989
389,389,5969
390,390,5952
391,391,5932
392,392,5917
393,393,5896
394,394,5877
395,395,5860
396,396,5842
397,397,5825
398,398,5806
399,399,5788
400,400,5772
401,401,5755
402,402,5735
403,403,5722
404,404,5699
405,405,5682
406,406,5660
407,407,5642
408,408,5625
409,409,5609
410,410,5591
411,411,5573
412,412,5556
413,413,5538
414,414,5518
415,415,5501
416,416,5483
417,417,5464
418,418,5447
419,419,5426
420,420,5410
421,421,5392
422,422,5374
423,423,5359
424,424,5338
425,425,5321
426,426,5305
427,427,5285
428,428,5266
429,429,5249
430,430,5230
431,431,5212
432,432,5194
433,433,5177
434,434,5161
435,435,5143
436,436,5128
437,437,5105
438,438,5090
439,439,5072
440,440,5052
441,441,5039
442,442,5020
443,443,5002
444,444,4981
445,445,4964
446,446,4950
447,447,4934
448,448,4913
449,449,4894
450,450,4880
451,451,4863
452,452,4846
453,453,4826
454,454,4809
455,455,4793
