step,time,alive
0,0,1937
1,1,1927
2,2,1881
3,3,1843
4,4,1821
5,5,1794
6,6,1778
7,7,1753
8,8,1737
9,9,1725
10,10,1715
11,11,1704
12,12,1695
13,13,1684
14,14,1676
15,15,1663
16,16,1655
17,17,1642
18,18,1632
19,19,1619
20,20,1612
21,21,1597
22,22,1582
23,23,1571
24,24,1559
25,25,1543
26,26,1533
27,27,1521
28,28,1511
29,29,1502
30,30,1490
31,31,1480
32,32,1468
33,33,1457
34,34,1449
35,35,1430
36,36,1421
37,37,1410
38,38,1396
39,39,1382
40,40,1371
41,41,1364
42,42,1350
43,43,1340
44,44,1330
45,45,1322
46,46,1313
47,47,1300
48,48,1289
49,49,1277
50,50,1263
51,51,1253
52,52,1239
53,53,1228
54,54,1215
55,55,1203
56,56,1187
57,57,1175
58,58,1167
59,59,1155
60,60,1142
61,61,1130
62,62,1118
63,63,1106
64,64,1094
65,65,1083
66,66,1071
67,67,1058
68,68,1047
69,69,1035
70,70,1025
71,71,1007
72,72,999
73,73,987
74,74,980
75,75,972
76,76,964
77,77,956
78,78,947
79,79,935
80,80,922
81,81,910
82,82,901
83,83,891
84,84,881
85,85,867
86,86,856
87,87,843
88,88,834
89,89,821
90,90,812
91,91,801
92,92,792
93,93,782
94,94,774
95,95,764
96,96,753
97,97,744
98,98,734
99,99,724
100,100,712
101,101,704
102,102,692
103,103,680
104,104,668
105,105,658
106,106,644
107,107,634
108,108,621
109,109,608
110,110,597
111,111,587
112,112,574
113,113,564
114,114,549
115,115,544
116,116,529
117,117,519
118,118,507
119,119,491
120,120,481
121,121,470
122,122,459
123,123,449
124,124,437
125,125,423
126,126,414
127,127,403
128,128,391
129,129,382
130,130,372
131,131,364
132,132,352
133,133,339
134,134,330
135,135,319
136,136,311
137,137,296
138,138,286
139,139,276
140,140,268
141,141,256
142,142,248
143,143,240
144,144,233
145,145,226
146,146,220
147,147,213
148,148,206
149,149,199
150,150,194
151,151,186
152,152,176
153,153,170
154,154,161
155,155,154
156,156,148
157,157,143
158,158,136
159,159,131
160,160,125
161,161,120
162,162,115
163,163,109
164,164,100
165,165,97
166,166,91
167,167,84
168,168,78
169,169,74
170,170,69
171,171,62
172,172,57
173,173,53
174,174,45
175,175,39
176,176,35
177,177,32
178,178,26
179,179,22
180,180,20
181,181,16
182,182,13
183,183,10
184,184,8
185,185,7
186,186,6
187,187,5
188,188,3
