step,time,alive
0,0,563
1,1,558
2,2,550
3,3,501
4,4,464
5,5,443
6,6,438
7,7,434
8,8,433
9,9,428
10,10,425
11,11,424
12,12,420
13,13,416
14,14,414
15,15,409
16,16,406
17,17,403
18,18,401
19,19,397
20,20,394
21,21,390
22,22,388
23,23,384
24,24,381
25,25,378
26,26,375
27,27,373
28,28,370
29,29,366
30,30,363
31,31,360
32,32,357
33,33,354
34,34,350
35,35,347
36,36,344
37,37,341
38,38,338
39,39,336
40,40,332
41,41,329
42,42,325
43,43,322
44,44,320
45,45,317
46,46,313
47,47,311
48,48,307
49,49,303
50,50,302
51,51,297
52,52,294
53,53,291
54,54,289
55,55,286
56,56,283
57,57,280
58,58,276
59,59,273
60,60,270
61,61,267
62,62,264
63,63,260
64,64,257
65,65,255
66,66,252
67,67,249
68,68,246
69,69,242
70,70,239
71,71,236
72,72,232
73,73,230
74,74,226
75,75,225
76,76,222
77,77,218
78,78,215
79,79,211
80,80,209
81,81,205
82,82,202
83,83,199
84,84,198
85,85,194
86,86,190
87,87,187
88,88,185
89,89,182
90,90,179
91,91,175
92,92,172
93,93,170
94,94,166
95,95,162
96,96,159
97,97,156
98,98,154
99,99,151
100,100,148
101,101,145
102,102,142
103,103,138
104,104,135
105,105,131
106,106,129
107,107,126
108,108,124
109,109,120
110,110,117
111,111,113
112,112,111
113,113,108
114,114,105
115,115,102
116,116,99
117,117,95
118,118,93
119,119,90
120,120,85
121,121,83
122,122,80
123,123,77
124,124,73
125,125,71
126,126,68
127,127,66
128,128,62
129,129,58
130,130,56
131,131,53
132,132,50
133,133,47
134,134,43
135,135,40
136,136,38
137,137,34
138,138,32
139,139,29
140,140,26
141,141,23
142,142,20
143,143,16
144,144,13
145,145,11
146,146,8
147,147,6
148,148,4
149,149,3
150,150,1
