step,time,alive
0,0,1679
1,1,1669
2,2,1654
3,3,1533
4,4,1394
5,5,1286
6,6,1217
7,7,1195
8,8,1185
9,9,1178
10,10,1172
11,11,1167
12,12,1160
13,13,1150
14,14,1143
15,15,1135
16,16,1126
17,17,1116
18,18,1107
19,19,1101
20,20,1091
21,21,1086
22,22,1077
23,23,1066
24,24,1060
25,25,1052
26,26,1042
27,27,1030
28,28,1025
29,29,1017
30,30,1009
31,31,999
32,32,992
33,33,989
34,34,978
35,35,966
36,36,960
37,37,950
38,38,940
39,39,934
40,40,923
41,41,916
42,42,910
43,43,901
44,44,896
45,45,884
46,46,877
47,47,867
48,48,863
49,49,855
50,50,844
51,51,837
52,52,831
53,53,823
54,54,813
55,55,806
56,56,800
57,57,790
58,58,785
59,59,776
60,60,769
61,61,760
62,62,753
63,63,745
64,64,739
65,65,732
66,66,726
67,67,717
68,68,709
69,69,704
70,70,700
71,71,690
72,72,682
73,73,673
74,74,666
75,75,659
76,76,653
77,77,648
78,78,640
79,79,632
80,80,626
81,81,620
82,82,613
83,83,607
84,84,601
85,85,597
86,86,587
87,87,581
88,88,577
89,89,571
90,90,565
91,91,560
92,92,553
93,93,548
94,94,543
95,95,534
96,96,529
97,97,525
98,98,520
99,99,514
100,100,508
101,101,503
102,102,498
103,103,494
104,104,488
105,105,482
106,106,478
107,107,473
108,108,467
109,109,463
110,110,458
111,111,453
112,112,448
113,113,442
114,114,438
115,115,434
116,116,428
117,117,423
118,118,419
119,119,414
120,120,409
121,121,404
122,122,400
123,123,395
124,124,390
125,125,387
126,126,381
127,127,377
128,128,372
129,129,366
130,130,362
131,131,357
132,132,354
133,133,348
134,134,343
135,135,339
136,136,334
137,137,328
138,138,323
139,139,319
140,140,314
141,141,309
142,142,305
143,143,300
144,144,295
145,145,290
146,146,287
147,147,281
148,148,276
149,149,271
150,150,267
151,151,262
152,152,257
153,153,253
154,154,248
155,155,243
156,156,239
157,157,233
158,158,229
159,159,224
160,160,219
161,161,215
162,162,209
163,163,207
164,164,201
165,165,196
166,166,192
167,167,187
168,168,183
169,169,177
170,170,173
171,171,169
172,172,164
173,173,159
174,174,155
175,175,150
176,176,146
177,177,141
178,178,136
179,179,131
180,180,126
181,181,121
182,182,117
183,183,112
184,184,110
185,185,103
186,186,99
187,187,95
188,188,89
189,189,84
190,190,81
191,191,76
192,192,71
193,193,66
194,194,62
195,195,58
196,196,52
197,197,48
198,198,43
199,199,39
200,200,36
201,201,32
202,202,27
203,203,22
204,204,19
205,205,16
206,206,12
207,207,9
208,208,6
209,209,5
210,210,2
211,211,2
